"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"PTK7",0.3365191752124,9.26116479603852,2.49858370951018,0.0149326308820221,0.0276786737040119,-4.0484413993858,"NS"
"LARS1",0.169113863519387,8.70907083108172,2.49774212686332,0.0149650210503517,0.0277355579407678,-4.0503775384697,"NS"
"KBTBD11",-0.318862334518328,7.48486491525203,-2.49717215799379,0.014986993490938,0.0277731236504039,-4.05168849807773,"NS"
"CREB1",-0.141181348803412,8.82968956537549,-2.49691720656752,0.0149968313338534,0.0277881961662854,-4.05227482012284,"NS"
"CPT2",0.216683961219088,8.71940155306783,2.49665786726904,0.0150068444592465,0.0278035900072221,-4.05287118227256,"NS"
"SH3KBP1",-0.199551841315802,10.3023575935417,-2.4958974672622,0.015036238326699,0.0278548834994319,-4.05461945988775,"NS"
"ATP8A1",-0.350717913923037,7.68960803260974,-2.49551792903595,0.0150509290695198,0.0278789306463816,-4.05549191214769,"NS"
"PSME3",0.226566270338875,9.36032669527953,2.49519189549128,0.0150635591327301,0.0278991557537239,-4.05624128435483,"NS"
"NFE2",-0.55455898410764,6.56589918189065,-2.49486541928513,0.0150762159073716,0.0279194257330517,-4.05699159273044,"NS"
"CLPTM1",0.252912840127031,9.95585574736036,2.49478081353934,0.0150794974508054,0.0279223312252051,-4.05718602058327,"NS"
"PTPRT",-0.221545915028008,6.79404427592601,-2.49464213323459,0.0150848777373399,0.0279291218066761,-4.05750470241868,"NS"
"OR4D2",0.148553708407717,6.55838742605985,2.49450557088837,0.0150901775441043,0.0279357618575083,-4.05781850292853,"NS"
"FBXO6",0.286979868409835,8.94468170447721,2.49392590211149,0.0151126924033631,0.0279742662289319,-4.05915033948176,"NS"
"OTUD5",0.192562140525283,8.93405300054846,2.49322810905396,0.0151398354374382,0.0280213278433413,-4.0607532361016,"NS"
"FIGN",-0.373910997989527,6.30850108527145,-2.49189615540778,0.0151917681968025,0.0281142552418466,-4.06381182769317,"NS"
"WHAMM",-0.174149697751581,8.48779660549357,-2.49168570116912,0.0151999884466841,0.0281262752961909,-4.06429497402568,"NS"
"B9D2",-0.149040560541826,7.90753062242343,-2.4910717143487,0.0152239933904456,0.0281674975303932,-4.06570432937855,"NS"
"TSN",0.15273276588858,9.50427755454785,2.49077100932067,0.015235762452904,0.0281860740987345,-4.06639446757856,"NS"
