"Var1","Freq"
"ATN1",10
"ATOH1",8
"ATOH7",3
"ATOH8",10
"ATOSA",8
"ATOSB",8
"ATOX1",10
"ATP10A",10
"ATP10B",10
"ATP10D",10
"ATP11A",10
"ATP11B",10
"ATP11C",10
"ATP12A",9
"ATP13A1",10
"ATP13A2",10
"ATP13A3",10
"ATP13A4",10
"ATP13A5",6
"ATP1A1",10
"ATP1A2",8
"ATP1A3",5
"ATP1A4",5
"ATP1B1",10
"ATP1B2",10
"ATP1B3",10
"ATP1B4",3
"ATP23",8
"ATP2A1",8
"ATP2A2",10
"ATP2A3",10
"ATP2B1",10
"ATP2B2",5
"ATP2B3",6
"ATP2B4",10
"ATP2C1",10
"ATP2C2",10
"ATP4A",7
"ATP4B",5
"ATP5F1A",8
"ATP5F1B",8
"ATP5F1C",8
"ATP5F1D",8
"ATP5F1E",5
"ATP5IF1",8
"ATP5MC1",8
"ATP5MC2",8
"ATP5MC3",8
"ATP5ME",8
"ATP5MF",8
"ATP5MG",8
"ATP5MGL",1
"ATP5MJ",8
"ATP5MK",1
"ATP5PB",8
"ATP5PD",1
"ATP5PF",8
"ATP5PO",8
"ATP6AP1",10
"ATP6AP2",10
"ATP6V0A1",10
"ATP6V0A2",8
"ATP6V0A4",6
"ATP6V0B",10
"ATP6V0C",10
"ATP6V0D1",10
"ATP6V0D2",8
"ATP6V0E1",10
"ATP6V0E2",10
"ATP6V1A",10
"ATP6V1B1",10
"ATP6V1B2",10
"ATP6V1C1",10
"ATP6V1C2",6
"ATP6V1D",10
"ATP6V1E1",10
"ATP6V1E2",10
"ATP6V1F",10
"ATP6V1G1",10
"ATP6V1G2",9
"ATP6V1G2-DDX39B",1
"ATP6V1G3",5
"ATP6V1H",10
"ATP7A",10
"ATP7B",9
"ATP8A1",10
"ATP8A2",10
"ATP8B1",10
"ATP8B2",10
"ATP8B3",6
"ATP8B4",7
"ATP9A",10
"ATP9B",10
"ATPAF1",10
"ATPAF2",10
"ATPSCKMT",8
"ATR",10
"ATRAID",8
"ATRIP",3
"ATRN",10
"ATRNL1",3
"ATRX",10
"ATXN1",10
"ATXN10",10
"ATXN1L",10
"ATXN2",10
"ATXN2L",10
"ATXN3",10
"ATXN3L",4
"ATXN7",10
"ATXN7L1",10
"ATXN7L2",6
"ATXN7L3",10
"ATXN7L3B",10
"AUH",10
"AUNIP",7
"AUP1",10
"AURKA",10
"AURKAIP1",10
"AURKB",10
"AURKC",10
"AUTS2",10
"AVEN",10
"AVIL",10
"AVL9",10
"AVP",10
"AVPI1",10
"AVPR1A",6
"AVPR1B",10
"AVPR2",9
"AWAT1",6
"AWAT2",3
"AXDND1",2
"AXIN1",10
"AXIN2",10
"AXL",10
"AZGP1",10
"AZI2",10
"AZIN1",10
"AZIN2",8
"AZU1",6
"B2M",10
"B3GALNT1",10
"B3GALNT2",8
"B3GALT1",5
"B3GALT2",7
"B3GALT4",10
"B3GALT5",5
"B3GALT6",10
"B3GALT9",1
"B3GAT1",10
"B3GAT2",7
"B3GAT3",10
"B3GLCT",7
"B3GNT2",10
"B3GNT3",9
"B3GNT4",10
"B3GNT5",10
"B3GNT6",10
"B3GNT7",10
"B3GNT8",10
"B3GNT9",10
"B3GNTL1",10
"B4GALNT1",9
"B4GALNT2",8
"B4GALNT3",10
"B4GALNT4",8
"B4GALT1",10
"B4GALT2",10
"B4GALT3",10
"B4GALT4",10
"B4GALT5",10
"B4GALT6",7
"B4GALT7",10
"B4GAT1",8
"B9D1",10
"B9D2",10
"BAALC",9
"BAAT",9
"BABAM1",10
"BABAM2",8
"BACE1",10
"BACE2",10
"BACH1",10
"BACH2",10
"BAD",10
"BAG1",10
"BAG2",10
"BAG3",10
"BAG4",10
"BAG5",10
"BAG6",10
"BAHCC1",10
"BAHD1",10
"BAIAP2",10
"BAIAP2L1",10
"BAIAP2L2",10
"BAIAP3",10
"BAK1",3
"BAMBI",10
"BANF1",10
"BANF2",7
"BANK1",10
"BANP",10
"BAP1",10
"BARD1",10
"BARHL1",10
"BARHL2",3
"BARX1",10
"BARX2",10
"BASP1",10
"BATF",10
"BATF2",10
"BATF3",10
"BAX",10
"BAZ1A",10
"BAZ1B",10
"BAZ2A",10
"BAZ2B",10
"BBC3",10
"BBIP1",10
"BBLN",8
"BBOF1",8
"BBOX1",5
"BBS1",10
"BBS10",10
"BBS12",10
"BBS2",10
"BBS4",10
"BBS5",7
"BBS7",10
"BBS9",10
"BBX",10
"BCAM",10
"BCAN",10
"BCAP29",3
"BCAP31",10
"BCAR1",10
"BCAR3",10
"BCAS1",10
"BCAS2",10
"BCAS3",10
"BCAS4",10
"BCAT1",10
"BCAT2",10
"BCCIP",10
"BCDIN3D",10
"BCHE",10
"BCKDHA",10
"BCKDHB",10
"BCKDK",10
"BCL10",10
"BCL11A",10
"BCL11B",10
"BCL2",10
"BCL2A1",10
"BCL2L1",10
"BCL2L10",8
"BCL2L11",10
"BCL2L12",10
"BCL2L13",10
"BCL2L14",10
"BCL2L15",6
"BCL2L2",10
"BCL3",10
"BCL6",10
"BCL6B",10
"BCL7A",10
"BCL7B",10
"BCL7C",10
"BCL9",10
"BCL9L",10
"BCLAF1",10
"BCLAF3",7
"BCO1",4
"BCO2",9
"BCOR",10
"BCORL1",10
"BCR",9
"BCS1L",10
"BDH1",10
"BDH2",10
"BDKRB1",10
"BDKRB2",10
"BDNF",9
"BDP1",10
"BEAN1",7
"BECN1",10
"BEGAIN",10
"BEND2",3
"BEND3",10
"BEND4",4
"BEND5",10
"BEND6",3
"BEND7",9
"BEST1",10
"BEST2",7
"BEST3",5
"BEST4",6
"BET1",10
"BET1L",10
"BEX1",9
"BEX2",10
